strike,CallOpenInt,CallVolume,CallIV,CallGamma,PutOpenInt,PutVolume,PutIV,PutGamma,Price,Days,CallGEX,PutGEX,TotalGamma,Weights,WeightedGEX,CumulativeGEX,Flip
190.0,41731.0,125180.0,0.513549,0.04955777923169492,7393.0,11287.0,0.518489,0.04955777923169492,187.33,2,36287353.79898193,-6428611.982360196,59717483.633243464,0.5,29858741.816621732,23031177.410322696,182.5
192.5,33854.0,39391.0,0.522,0.040832321689129134,2587.0,2612.0,0.519646,0.040832321689129134,187.33,2,24254857.90349576,-1853468.3463207756,44802779.11434997,0.5,22401389.557174984,45432566.96749768,182.5
195.0,38047.0,48087.0,0.533889,0.03108856408179161,3978.0,1152.0,0.534243,0.03108856408179161,187.33,2,20754188.280332953,-2169951.927331051,37168472.7060038,0.5,18584236.3530019,64016803.32049958,182.5
197.5,10008.0,14814.0,0.551257,0.022394750210536742,942.0,708.0,0.548886,0.022394750210536742,187.33,2,3932585.6485335957,-370153.4453355962,7124864.406395999,0.5,3562432.2031979994,67579235.52369757,182.5
200.0,32078.0,28265.0,0.572753,0.015664987938515618,7330.0,535.0,0.614193,0.015664987938515618,187.33,2,8817023.908844242,-2014738.6137486226,13604570.590191238,0.5,6802285.295095619,74381520.81879319,182.5
202.5,9006.0,8145.0,0.59213,0.010679874304689963,624.0,179.0,0.669092,0.010679874304689963,187.33,2,1687651.440978707,-116932.5448779384,3141437.792201537,0.5,1570718.8961007686,75952239.71489397,182.5
205.0,10684.0,5137.0,0.620286,0.007122858690453233,2547.0,172.0,0.804852,0.007122858690453233,187.33,2,1335281.6427870397,-318322.9449811485,2033917.3956117826,0.5,1016958.6978058913,76969198.41269986,182.5
207.5,6203.0,1923.0,0.655864,0.00461287492169299,342.0,65.0,0.910485,0.00461287492169299,187.33,2,502062.9003247015,-27681.043351773,948763.713945857,0.5,474381.8569729285,77443580.2696728,182.5
210.0,14760.0,2493.0,0.702185,0.002903599228478579,3254.0,76.0,0.95997,0.002903599228478579,187.33,2,751982.4420147889,-165782.57901870747,1172399.7259921627,0.5,586199.8629960814,78029780.13266888,182.5
212.5,3910.0,782.0,0.729209,0.001737841959605941,188.0,2.0,1.035545,0.001737841959605941,187.33,2,119226.20126860857,-5732.615303963788,226987.17192928956,0.5,113493.58596464478,78143273.71863353,182.5
215.0,8181.0,613.0,0.761313,0.0010017331228538112,756.0,18.0,1.219535,0.0010017331228538112,187.33,2,143794.77230036553,-13287.965757129488,261013.6130864721,0.5,130506.80654323605,78273780.52517676,182.5
217.5,6496.0,678.0,0.815508,0.0005174434911891287,64.0,2.0,1.178592,0.0005174434911891287,187.33,2,58978.4853718447,-581.0688213974847,116794.83310089442,0.5,58397.41655044721,78332177.9417272,182.5
220.0,12861.0,1741.0,0.869059,0.0002530068332267792,605.0,9.0,1.340391,0.0002530068332267792,187.33,2,57094.15629722337,-2685.7915060897394,108816.72958226726,0.5,54408.36479113363,78386586.30651835,182.5
222.5,3800.0,307.0,0.886546,0.00011985296959773251,7.0,0.0,1.315977,0.00011985296959773251,187.33,2,7991.2932187825745,-14.720803297757374,15953.144830969633,0.5,7976.572415484817,78394562.87893383,182.5
225.0,11932.0,172.0,0.935956,5.4070318258462704e-05,12.0,0.0,1.481804,5.4070318258462704e-05,187.33,2,11320.271453695812,-11.384785236703802,22617.773336918217,0.5,11308.886668459108,78405871.76560229,182.5
227.5,2064.0,50.0,0.984376,2.322036239413783e-05,0.0,0.0,1.549381,2.322036239413783e-05,187.33,2,840.9367980130672,-0.0,1681.8735960261345,0.5,840.9367980130672,78406712.7024003,182.5
230.0,5878.0,218.0,0.977156,9.494516052834108e-06,22.0,15.0,1.729854,9.494516052834108e-06,187.33,2,979.2353556092734,-3.6650523687315433,1951.1406064810838,0.5,975.5703032405419,78407688.27270354,182.5
232.5,6952.0,271.0,1.022488,3.698107590336085e-06,1.0,3.0,1.71313,3.698107590336085e-06,187.33,2,451.1011934723842,-0.06488797374458921,902.0726109972792,0.5,451.0363054986396,78408139.30900905,182.5
235.0,10272.0,31.0,1.067327,1.4024153932693876e-06,2.0,0.0,1.747527,1.4024153932693876e-06,187.33,2,252.76465876021737,-0.04921430271811086,505.43088891499855,0.5,252.71544445749927,78408392.0244535,182.5
237.5,2214.0,244.0,1.111594,5.092079808155294e-07,0.0,0.0,1.601126,5.092079808155294e-07,187.33,2,19.781421131647733,-0.0,39.562842263295465,0.5,19.781421131647733,78408411.80587463,182.5
