strike,CallOpenInt,CallVolume,CallIV,CallGamma,PutOpenInt,PutVolume,PutIV,PutGamma,Price,Days,CallGEX,PutGEX,TotalGamma,Weights,WeightedGEX,CumulativeGEX,Flip
5045.0,3501.0,3633.0,0.181968,0.0017264275650547929,19.0,29.0,0.20917,0.0017264275650547929,4994.48,1,150772115.69694015,-818243.4156646281,149953872.2812755,1.0,149953872.2812755,2357531588.3249054,4990.0
5050.0,3707.0,3897.0,0.19631,0.0011208042498450834,17.0,33.0,0.225151,0.0011208042498450834,4994.48,1,103641314.3147112,-475290.62404912064,103166023.69066207,1.0,103166023.69066207,2460697612.0155673,4990.0
5055.0,2377.0,2939.0,0.197051,0.0007357336608965718,45.0,11.0,0.241105,0.0007357336608965718,4994.48,1,43624490.17866026,-825873.8149094284,42798616.36375083,1.0,42798616.36375083,2503496228.379318,4990.0
5060.0,1920.0,1631.0,0.210507,0.0004416113431971737,5.0,4.0,0.257032,0.0004416113431971737,4994.48,1,21150566.572529525,-55079.60044929564,21095486.97208023,1.0,21095486.97208023,2524591715.3513985,4990.0
5065.0,1668.0,3268.0,0.223947,0.0002545923959773532,0.0,9.0,0.254863,0.0002545923959773532,4994.48,1,10593074.613388982,-0.0,10593074.613388982,1.0,10593074.613388982,2535184789.9647875,4990.0
5070.0,1679.0,1996.0,0.246894,0.00014091167956175612,1.0,0.0,0.288268,0.00014091167956175612,4994.48,1,5901715.151427154,-3515.017957967335,5898200.133469187,1.0,5898200.133469187,2541082990.0982566,4990.0
5075.0,2188.0,2479.0,0.250777,7.483868768907214e-05,17.0,0.0,0.284353,7.483868768907214e-05,4994.48,1,4084642.3689440805,-31736.252409528966,4052906.1165345516,1.0,4052906.1165345516,2545135896.2147913,4990.0
5080.0,1297.0,2194.0,0.253772,3.811825268362326e-05,1.0,1.0,0.299062,3.811825268362326e-05,4994.48,1,1233256.7962740448,-950.8533510208518,1232305.9429230238,1.0,1232305.9429230238,2546368202.1577144,4990.0
5085.0,1252.0,2900.0,0.266649,1.8607351979038163e-05,0.0,2.0,0.313375,1.8607351979038163e-05,4994.48,1,581124.8652564514,-0.0,581124.8652564514,1.0,581124.8652564514,2546949327.0229707,4990.0
5090.0,725.0,1066.0,0.279194,8.698881424440268e-06,7.0,5.0,0.32759,8.698881424440268e-06,4994.48,1,157319.28875071125,-1518.9448569034191,155800.34389380782,1.0,155800.34389380782,2547105127.3668647,4990.0
5095.0,367.0,334.0,0.291724,3.891487055419934e-06,0.0,0.0,0.341786,3.891487055419934e-06,4994.48,1,35625.60194920072,-0.0,35625.60194920072,1.0,35625.60194920072,2547140752.968814,4990.0
